Stimulus;Q_ID;Question;Q_Importance;Participant_ID;Group;Subgroup;Participant_Robot_Experience;Participant_Avg_Attitudes_S;Participant_Average_Attitudes_P
Vid1;Q2;How did you know what to put into the salad? ;4.0;p3;how-did-you-know;goal-objects;2;6.2;4.4
Vid1;Q2;What were the proportions of the things put into salad?;4.0;p4;environment-state;object-properties;3;5.0;2.8
Vid1;Q2;How did you decide on the proportion of peas to add in the salad?;4.0;p5;how-did-you-decide;goal-properties;5;6.8;6.8
Vid1;Q2;Was it able to identify the components independently?;3.0;p6;self/task-assessment;success;4;6.0;5.6
Vid1;Q2;Why did you not toss the salad?;3.0;p7;why;why-not-extra;3;5.0;4.0
Vid1;Q2;what was in the salad;4.0;p8;execution-details;what-objects;1;4.6;2.4
Vid1;Q2;Any recommendations for ingredients to make the salad better?;2.0;p9;mental-state;ideas;5;6.2;4.4
Vid1;Q2;How long will it take you to prepare this salad?;5.0;p10;time;how-long;3;6.6;4.4
Vid1;Q2;What type of salad dressing is on the salad?;2.0;p11;execution-details;what-objects;1;5.6;4.8
Vid1;Q2;What do you choose to put in the salad? ;3.0;p12;execution-details;what-objects;3;4.4;1.8
Vid1;Q2;Can you slice tomatoes, or mix the salad together? What type of utensils would you use to mix the salad?;4.0;p14;what-abilities;extra-ability;1;7.0;5.2
Vid1;Q2;How did you decide on the amount of the green items which seemed to be lettuce?;2.0;p15;how-did-you-decide;goal-properties;1;6.4;5.2
Vid1;Q2;Can you put the leaves first before the remaining items?;4.0;p16;what-abilities;ability-modification;4;5.6;4.0
Vid1;Q2;What made you choose these ingridients?;4.0;p17;why;why-did-you;2;4.6;2.4
Vid1;Q2;how long did this take?;3.0;p18;time;how-long;2;2.8;3.4
Vid1;Q2;Were you also planning to add any tomatoes? ;2.0;p19;future-actions;what-next;3;6.2;3.0
Vid1;Q2;Why didn't you choose the other food?;5.0;p20;why;why-not-alternative;1;5.4;3.8
Vid1;Q2;Does it know if it drops anything?;4.0;p65;potential-issues;what-if;2;4.0;2.2
Vid1;Q2;why did you swap hands with the spoon and then give it back before adding the nuts to the salad?;4.0;p67;why;why-did-you;2;6.4;5.6
Vid1;Q2;Can you prepare lunch?;4.0;p72;what-abilities;extra-ability;1;6.6;6.2
Vid1;Q2;Why did you scoop two spoonfuls of nuts into the salad? ;3.0;p78;why;why-did-you;2;5.4;5.6
Vid1;Q2;How do you know how much quantity of each item is needed?;5.0;p79;how-did-you-know;goal-properties;1;5.6;4.2
Vid1;Q2;Can you prepare more than one meal?;3.0;p85;what-abilities;ability-modification;1;7.0;6.0
Vid1;Q2;Can this procvess be appied to other entrees and dishes?;4.0;p95;what-abilities;extra-ability;2;5.6;5.6
Vid1;Q2;did you find it easy to identify which utensil is suitable for picking each ingredient;4.0;p96;self/task-assessment;difficulty;1;6.4;4.2
Vid1;Q3;What other salads can you make?;3.0;p1;what-abilities;ability-list;7;4.6;3.4
Vid1;Q3;Did you cut the vegetables appropriately?;3.0;p2;self/task-assessment;correctness;3;5.6;3.4
Vid1;Q3;How long did the task take you? ;3.0;p3;time;how-long;2;6.2;4.4
Vid1;Q3;What other reciepies can you make?;3.0;p4;what-abilities;ability-list;3;5.0;2.8
Vid1;Q3;How are you going to ensure that everything is evenly distributed in the salad?;3.0;p5;potential-issues;how-to-ensure-correctness;5;6.8;6.8
Vid1;Q3;How much can you lift?;2.0;p7;what-abilities;ability-limits;3;5.0;4.0
Vid1;Q3;can you put dressing on the salad;2.0;p8;what-abilities;extra-ability;1;4.6;2.4
Vid1;Q3;What kind of meals can't you make?;4.0;p9;what-abilities;ability-limits;5;6.2;4.4
Vid1;Q3;Can you peel vegetables?;4.0;p10;what-abilities;extra-ability;3;6.6;4.4
Vid1;Q3;Is there any diary on the salad?;2.0;p11;environment-state;object-properties;1;5.6;4.8
Vid1;Q3;How do you pick things in general, if the ask is unclear?;4.0;p12;potential-issues;what-if;3;4.4;1.8
Vid1;Q3;Were there any technical hitches faced during the task?;5.0;p13;self/task-assessment;problems;6;6.6;6.6
Vid1;Q3;Can you prepare other foods? ;4.0;p14;what-abilities;extra-ability;1;7.0;5.2
Vid1;Q3;Did you enjoy working as a team, when one of you could have done the task?;3.0;p15;mental-state;emotions;1;6.4;5.2
Vid1;Q3;What kind of dishes you can prepare?;3.0;p16;what-abilities;ability-list;4;5.6;4.0
Vid1;Q3;What do you think about salads?;3.0;p17;mental-state;opinion/likes;2;4.6;2.4
Vid1;Q3;whats the nutritional value of this salad?;4.0;p18;environment-state;object-properties;2;2.8;3.4
Vid1;Q3;How many calories will the salad be?;2.0;p19;environment-state;object-properties;3;6.2;3.0
Vid1;Q3;Could you also cook other things?;5.0;p20;what-abilities;extra-ability;1;5.4;3.8
Vid1;Q3;What if the food is slippery? ;3.0;p65;potential-issues;what-if;2;4.0;2.2
Vid1;Q3;do we need any extra ingredients for the salad;4.0;p67;future-actions;what-needs-to-be-done;2;6.4;5.6
Vid1;Q3;Can you do it faster?;4.0;p72;what-abilities;ability-modification;1;6.6;6.2
Vid1;Q3;When does the robot know it is done making the salad? ;4.0;p78;how-did-you-know;goal-achieved;2;5.4;5.6
Vid1;Q3;What do you do when you have finished your task?;3.0;p79;future-actions;what-next;1;5.6;4.2
Vid1;Q3;Can you explain what you are doing and why?;4.0;p85;why;why-did-you;1;7.0;6.0
Vid1;Q3;Is another robot necessary for this to happen, or can one robot perform it solo?;2.0;p95;what-abilities;ability-modification;2;5.6;5.6
Vid1;Q3;why were you slow;3.0;p96;why;why-issues;1;6.4;4.2
Vid1;Q4;Do you need help with anything?;3.0;p1;future-actions;assistance-need;7;4.6;3.4
Vid1;Q4;What protein options do we have to add to the salad?;3.0;p11;environment-state;availability;1;5.6;4.8
Vid1;Q4;How would you rate your overall performance in this task?;3.0;p13;self/task-assessment;performance;6;6.6;6.6
Vid1;Q4;What salad dressing should you add? ;2.0;p19;mental-state;check-understanding/beliefs;3;6.2;3.0
Vid1;Q4;Don't we need salad dressing?;3.0;p20;mental-state;check-understanding/beliefs;1;5.4;3.8
Vid2;Q1;How did you pick the lunchbox items?;4.0;p1;how-did-you-decide;goal-objects;7;4.6;3.4
Vid2;Q1;What did you pack in the lunch box?;4.0;p2;execution-details;what-objects;3;5.6;3.4
Vid2;Q1;Why did you pack the container first? ;3.0;p3;why;why-action-order;2;6.2;4.4
Vid2;Q1;Why didnt you put other things into the lunch box?;3.0;p4;why;why-not-alternative;3;5.0;2.8
Vid2;Q1;What items are you going to put in the lunchbox?;4.0;p5;execution-details;what-objects;5;6.8;6.8
Vid2;Q1;How did the robot determine which items to pack;3.0;p6;how-did-you-decide;goal-objects;4;6.0;5.6
Vid2;Q1;Was it frustrating to get the items to fit in the lunchbox?;2.0;p7;mental-state;emotions;3;5.0;4.0
Vid2;Q1;what is packed in the lunch box;4.0;p8;execution-details;what-objects;1;4.6;2.4
Vid2;Q1;What kind of products did you pack?;3.0;p9;execution-details;what-objects;5;6.2;4.4
Vid2;Q1;What exactly did you pack in the lunch?;4.0;p11;execution-details;what-objects;1;5.6;4.8
Vid2;Q1;Why did you choose the orange? ;3.0;p12;why;why-did-you;3;4.4;1.8
Vid2;Q1;How precise were you packing the lunch box?;4.0;p13;execution-details;how-was-it-done;6;6.6;6.6
Vid2;Q1;Would you be able to differentiate between an orange and a lemon? ;3.0;p14;what-abilities;extra-ability;1;7.0;5.2
Vid2;Q1;Why did you choose the orange when other options were possible?;3.0;p15;why;why-not-alternative;1;6.4;5.2
Vid2;Q1;Why did you reach for the container first?;3.0;p17;why;why-action-order;2;4.6;2.4
Vid2;Q1;how did you decide what to add?;4.0;p18;how-did-you-decide;goal-objects;2;2.8;3.4
Vid2;Q1;Why did you pick the orange? ;3.0;p19;why;why-did-you;3;6.2;3.0
Vid2;Q1;Why didn't you pack the other fruits?;5.0;p20;why;why-not-extra;1;5.4;3.8
Vid2;Q1;Why did you decide to pick an orange and not any other fruit?;2.0;p70;why;why-not-alternative;5;5.8;3.8
Vid2;Q1;Why did you put the orange in the lunchbox before anything else?;5.0;p74;why;why-action-order;5;6.8;5.4
Vid2;Q1;What did you place in the lunchbox?;4.0;p75;execution-details;what-objects;2;4.6;3.0
Vid2;Q1;Out of all of the fruit, why did you pick an orange out of the fruit bowl? ;4.0;p78;why;why-not-alternative;2;5.4;5.6
Vid2;Q1;Why did you pack the orange instead of a another fruit?;5.0;p80;why;why-not-alternative;3;6.8;5.6
Vid2;Q1;What item did you place first into the bag?  ;3.0;p91;execution-details;what-objects;3;5.0;4.2
Vid2;Q1;What have you put in the lunchbox?;2.0;p93;execution-details;what-objects;1;6.0;2.6
Vid2;Q1;what else did you put in the lunchbag?;4.0;p97;execution-details;what-objects;1;5.6;5.0
Vid2;Q1;Why did you put the items in the bag?;4.0;p100;why;why-did-you;1;5.6;4.0
Vid2;Q2;What were the other lunchbox options?;3.0;p1;execution-details;what-options;7;4.6;3.4
Vid2;Q2;Did you put an ice pack in the lunch bag?;4.0;p2;execution-details;what-objects;3;5.6;3.4
Vid2;Q2;Was there an order to this ;3.0;p3;execution-details;what-action-order;2;6.2;4.4
Vid2;Q2;On what basis do you choose fruits that go into the lunch bag?;4.0;p4;how-did-you-decide;goal-objects;3;5.0;2.8
Vid2;Q2;Is everything going to fit in that lunchbox?;4.0;p5;environment-state;object-properties;5;6.8;6.8
Vid2;Q2;How did it determine the best order to arrange it;3.0;p6;how-did-you-decide;action-order;4;6.0;5.6
Vid2;Q2;How hard was the task to complete?;3.0;p7;self/task-assessment;difficulty;3;5.0;4.0
Vid2;Q2;is the fruit fresh;3.0;p8;environment-state;object-properties;1;4.6;2.4
Vid2;Q2;Any problems packing a specific kind of product?;3.0;p9;self/task-assessment;problems;5;6.2;4.4
Vid2;Q2;Was the orange fresh?;5.0;p10;environment-state;object-properties;3;6.6;4.4
Vid2;Q2;Does this lunch require a refrigerator?;5.0;p11;environment-state;object-properties;1;5.6;4.8
Vid2;Q2;What else will you pack into it? ;4.0;p12;future-actions;what-next;3;4.4;1.8
Vid2;Q2;If there was no fruit, and the table was empty, would you be able to find something else appropriate?;4.0;p14;potential-issues;what-if;1;7.0;5.2
Vid2;Q2;Why did you choose that specific can?;2.0;p15;why;why-did-you;1;6.4;5.2
Vid2;Q2;Can you put the orange last?;4.0;p16;what-abilities;ability-modification;4;5.6;4.0
Vid2;Q2;Why did you put the orange in last?;3.0;p17;why;why-action-order;2;4.6;2.4
Vid2;Q2;do you recall instructions?;4.0;p18;mental-state;check-understanding/beliefs;2;2.8;3.4
Vid2;Q2;Why did you not pack a drink? ;2.0;p19;why;why-not-extra;3;6.2;3.0
Vid2;Q2;Why didn't you put the orange in a box and peeled it?;5.0;p20;why;why-not-extra;1;5.4;3.8
Vid2;Q2;Did you check if the bag was closed securely?;4.0;p70;self/task-assessment;did-you-ensure;5;5.8;3.8
Vid2;Q2;How did you know where to place each food item so that it would all fit?;5.0;p74;how-did-you-know;goal-properties;5;6.8;5.4
Vid2;Q2;Did you miss anything while packing the lunchbox?;4.0;p75;self/task-assessment;correctness;2;4.6;3.0
Vid2;Q2;Why did you put the nuts into the bag first? ;4.0;p78;why;why-action-order;2;5.4;5.6
Vid2;Q2;Why did you pack the orange last and not first?;5.0;p80;why;why-action-order;3;6.8;5.6
Vid2;Q2;Can you place the fruit in the bag carefully?;4.0;p91;what-abilities;ability-modification;3;5.0;4.2
Vid2;Q2;Are we running out of anything for the lunchboxes?;2.0;p93;environment-state;availability;1;6.0;2.6
Vid2;Q2;was the fruit fresh?;3.0;p97;environment-state;object-properties;1;5.6;5.0
Vid2;Q2;How many items would you put in the bag?;4.0;p100;execution-details;what-quantity;1;5.6;4.0
Vid2;Q3;Can you also prepare dishes instead of lunchboxes?;2.0;p1;what-abilities;extra-ability;7;4.6;3.4
Vid2;Q3;Did you provide a fat, protein, and carb in the lunch you packed?;4.0;p2;self/task-assessment;correctness;3;5.6;3.4
Vid2;Q3;Does the fresh or packaged food come first or last? ;1.0;p3;mental-state;check-understanding/beliefs;2;6.2;4.4
Vid2;Q3;Are you able to have set preferences of fruits for each household member?;4.0;p4;what-abilities;extra-ability;3;5.0;2.8
Vid2;Q3;What is the weight limit you can lift?;4.0;p7;what-abilities;ability-limits;3;5.0;4.0
Vid2;Q3;is a drink in the lunchbox;2.0;p8;execution-details;what-objects;1;4.6;2.4
Vid2;Q3;How long will the task take?;4.0;p9;time;how-long;5;6.2;4.4
Vid2;Q3;Could you think of something else for lunch?;4.0;p10;mental-state;ideas;3;6.6;4.4
Vid2;Q3;Does the lunch require a microwave?;4.0;p11;environment-state;object-properties;1;5.6;4.8
Vid2;Q3;How do you decide what to pack? ;3.0;p12;how-did-you-decide;goal-objects;3;4.4;1.8
Vid2;Q3;How effective was your performance undertaking this task?;4.0;p13;self/task-assessment;performance;6;6.6;6.6
Vid2;Q3;Would you be aware of allergies for a particular person in the household, so you would know whether or not to pack something that cause an allergic reaction?;4.0;p14;what-abilities;extra-ability;1;7.0;5.2
Vid2;Q3;Did you enjoy packing the lunchbox for me?;3.0;p15;mental-state;emotions;1;6.4;5.2
Vid2;Q3;Can you rearrange the content inside the lunch bag?;4.0;p16;what-abilities;extra-ability;4;5.6;4.0
Vid2;Q3;How do you feel about packing lunch?;2.0;p17;mental-state;emotions;2;4.6;2.4
Vid2;Q3;can you do things not instructed by your master?;5.0;p18;technical-details;who-has-control;2;2.8;3.4
Vid2;Q3;What is the nutritional value of the lunch you packed? ;2.0;p19;environment-state;object-properties;3;6.2;3.0
Vid2;Q3;What's your perfect lunch box?;3.0;p20;mental-state;opinion/likes;1;5.4;3.8
Vid2;Q3;Would you swap any items for the lunch for it to be more healthy?;2.0;p70;mental-state;ideas;5;5.8;3.8
Vid2;Q3;What would you do if a food item like a banana was too big to fit in the lunchbox?;4.0;p74;potential-issues;what-if;5;6.8;5.4
Vid2;Q3;How does it make decisions about its order of operations? ;4.0;p78;how-did-you-decide;action-order;2;5.4;5.6
Vid2;Q3;How do you decide what to pack?;5.0;p80;how-did-you-decide;goal-objects;3;6.8;5.6
Vid2;Q3;What items did you place in the bag?;5.0;p91;execution-details;what-objects;3;5.0;4.2
Vid2;Q3;How many portions of fruit and veg did the kids have?;1.0;p93;environment-state;people;1;6.0;2.6
Vid2;Q3;can you work a zip? (lunchbag);2.0;p97;what-abilities;extra-ability;1;5.6;5.0
Vid2;Q3;Would you stop performing an action when it was no longer useful?;4.0;p100;potential-issues;what-if;1;5.6;4.0
Vid2;Q4;What is your favourite dish?;3.0;p1;mental-state;opinion/likes;7;4.6;3.4
Vid2;Q4;How much fiber was in the meal you packed?;3.0;p2;environment-state;object-properties;3;5.6;3.4
Vid2;Q4;Can this lunch keep until tomorrow?;4.0;p11;environment-state;object-properties;1;5.6;4.8
Vid2;Q4;Were you troubled or any suggestions for our records packing the lunch box?;3.0;p13;self/task-assessment;problems;6;6.6;6.6
Vid2;Q4;How would you handle a new food item that you have never seen before?;3.0;p74;potential-issues;what-if;5;6.8;5.4
Vid3;Q1;How do you decide who does what?;3.0;p1;how-did-you-decide;task-allocation;7;4.6;3.4
Vid3;Q1;How did you decide what to put the in the fridge?;4.0;p2;how-did-you-decide;goal-objects;3;5.6;3.4
Vid3;Q1;How did you know what went where? ;4.0;p3;how-did-you-know;goal-properties;2;6.2;4.4
Vid3;Q1;What items did you put into fridge?;4.0;p4;execution-details;what-objects;3;5.0;2.8
Vid3;Q1;Are you grouping similiar items together such as grains or snacks?;5.0;p5;execution-details;how-was-it-done;5;6.8;6.8
Vid3;Q1;Why didn't they move around the kitchen?;1.0;p6;why;why-not-alternative;4;6.0;5.6
Vid3;Q1;Why did you choose to split up the tasks different amongst you two?;4.0;p7;why;why-did-you;3;5.0;4.0
Vid3;Q1;how have you arranged the food;3.0;p8;execution-details;how-was-it-done;1;4.6;2.4
Vid3;Q1;Do you have trouble with certain kind of products to put in the fridge?;4.0;p9;what-abilities;ability-limits;5;6.2;4.4
Vid3;Q1;How do you know which needs to be chilled versus going into the pantry?;5.0;p11;how-did-you-know;goal-properties;1;5.6;4.8
Vid3;Q1;"How do you decide where to put an item? 
";3.0;p12;how-did-you-decide;goal-properties;3;4.4;1.8
Vid3;Q1;Are you able to identify the right environment for certain food items, such as foods that need to be kept frozen? ;4.0;p14;what-abilities;extra-ability;1;7.0;5.2
Vid3;Q1;Why did one robot use a cardboard type crate to put things in?;2.0;p15;why;why-did-you;1;6.4;5.2
Vid3;Q1;Can you do that faster?;4.0;p16;what-abilities;ability-modification;4;5.6;4.0
Vid3;Q1;What made you work with the other robot to complete the task?;5.0;p17;why;why-did-you;2;4.6;2.4
Vid3;Q1;can you move faster?;3.0;p18;what-abilities;ability-modification;2;2.8;3.4
Vid3;Q1;Why did you not place the milk in the fridge? ;4.0;p19;why;why-not-alternative;3;6.2;3.0
Vid3;Q1;Why did you put the eggs in the fridge?;2.0;p20;why;why-did-you;1;5.4;3.8
Vid3;Q1;Why did you put the sauce in the fridge?;3.0;p66;why;why-did-you;2;6.2;3.8
Vid3;Q1;How did you decide where each item goes?;5.0;p70;how-did-you-decide;goal-properties;5;5.8;3.8
Vid3;Q1;how did you know where to put certain products in the fridge?;2.0;p71;how-did-you-know;goal-properties;3;4.6;5.4
Vid3;Q1;Where did you place the milk carton?;5.0;p75;execution-details;what-location;2;4.6;3.0
Vid3;Q1;Why wasn't the drawer closed sooner?;5.0;p80;why;why-not-alternative;3;6.8;5.6
Vid3;Q1;Why are the robots putting that bottle into the fridge?;4.0;p94;why;why-did-you;5;4.0;4.4
Vid3;Q1;did you find it easy to sort the groceries out;4.0;p96;self/task-assessment;difficulty;1;6.4;4.2
Vid3;Q2;In what location in the fridge did you put the milk and the vegetables?;4.0;p2;execution-details;what-location;3;5.6;3.4
Vid3;Q2;How did you decide what robot did what part of the task? ;2.0;p3;how-did-you-decide;task-allocation;2;6.2;4.4
Vid3;Q2;What items did you put into the cupboard?;4.0;p4;execution-details;what-objects;3;5.0;2.8
Vid3;Q2;What criteria are you using to organize the food?;5.0;p5;how-did-you-decide;goal-properties;5;6.8;6.8
Vid3;Q2;Was everything in the instructions ticked off?;3.0;p6;self/task-assessment;success;4;6.0;5.6
Vid3;Q2;Were you able to understand the intentions of the other robot assistant?;3.0;p7;mental-state;check-understanding/beliefs;3;5.0;4.0
Vid3;Q2;how do you know where to put different foods to organise it;3.0;p8;how-did-you-know;goal-properties;1;4.6;2.4
Vid3;Q2;Is the fridge almost full?;4.0;p9;environment-state;object-properties;5;6.2;4.4
Vid3;Q2;Can you arrange products by expiration date?;4.0;p10;what-abilities;ability-modification;3;6.6;4.4
Vid3;Q2;Are there any foods that have expired?;3.0;p11;environment-state;object-properties;1;5.6;4.8
Vid3;Q2;How do you choose which items to take? ;4.0;p12;how-did-you-decide;goal-objects;3;4.4;1.8
Vid3;Q2;How confident were you during this task?;5.0;p13;self/task-assessment;confidence;6;6.6;6.6
Vid3;Q2;Would you be able to identify expired items or damaged goods? How would you know?;4.0;p14;what-abilities;extra-ability;1;7.0;5.2
Vid3;Q2;Why was the milk not put directly into the fridge?;2.0;p15;why;why-not-alternative;1;6.4;5.2
Vid3;Q2;Can you put milk first?;3.0;p16;what-abilities;ability-modification;4;5.6;4.0
Vid3;Q2;How did you understand what should go into the fridge and what should go into the cupboard?;5.0;p17;how-did-you-know;goal-properties;2;4.6;2.4
Vid3;Q2;Are there more efficient techniques you can use to do this?;3.0;p18;self/task-assessment;performance;2;2.8;3.4
Vid3;Q2;Do you think sauce bottles should be refrigerated? ;3.0;p19;mental-state;check-understanding/beliefs;3;6.2;3.0
Vid3;Q2;Where did you put the apple?;4.0;p20;execution-details;what-location;1;5.4;3.8
Vid3;Q2;Why did you remove the milk from the fridge?;4.0;p66;why;why-did-you;2;6.2;3.8
Vid3;Q2;Did you check expiry dates on the items?;3.0;p70;self/task-assessment;did-you-ensure;5;5.8;3.8
Vid3;Q2;why did you give the product to another robot instead of putting it down yourself?;1.0;p71;why;why-not-alternative;3;4.6;5.4
Vid3;Q2;What items did you place in the fridge?;5.0;p75;execution-details;what-objects;2;4.6;3.0
Vid3;Q2;What if some recipes are leaking?;3.0;p77;potential-issues;what-if;1;6.6;5.4
Vid3;Q2;How did you decide what to put in the fridge?;5.0;p80;how-did-you-decide;goal-objects;3;6.8;5.6
Vid3;Q2;How do the robots know that this bottle needs to go into the fridge and not somewhere else?;5.0;p94;how-did-you-know;goal-properties;5;4.0;4.4
Vid3;Q2;why did it take you so long to pack the groceries away;4.0;p96;why;why-issues;1;6.4;4.2
Vid3;Q3;Can you also walk my dog?;3.0;p1;what-abilities;extra-ability;7;4.6;3.4
Vid3;Q3;Is there a more efficient way to organize the fridge?;3.0;p2;self/task-assessment;performance;3;5.6;3.4
Vid3;Q3;Why did you do the task with another robot? ;2.0;p3;why;why-did-you;2;6.2;4.4
Vid3;Q3;Do you know if there was a tomato among things that I brought to you?;3.0;p4;execution-details;what-objects;3;5.0;2.8
Vid3;Q3;Is there anything else you feel needs to be added in the pantry?;4.0;p5;future-actions;what-needs-to-be-done;5;6.8;6.8
Vid3;Q3;What kind of machine system des the robot use;4.0;p6;technical-details;what-model;4;6.0;5.6
Vid3;Q3;How hard is it to understand task commands without specific instructions?;4.0;p7;self/task-assessment;difficulty;3;5.0;4.0
Vid3;Q3;do you know where different items are;4.0;p8;environment-state;object-properties;1;4.6;2.4
Vid3;Q3;What is the most optimal way to perform your task?;3.0;p9;self/task-assessment;performance;5;6.2;4.4
Vid3;Q3;Give me a list of items that need to be purchased at the grocery?;5.0;p11;future-actions;what-needs-to-be-done;1;5.6;4.8
Vid3;Q3;What do you decide to do? ;3.0;p12;future-actions;what-next;3;4.4;1.8
Vid3;Q3;Was the task repetitive?;3.0;p13;mental-state;emotions;6;6.6;6.6
Vid3;Q3;Are you sure this is a refrigerator, and are you able to identify each appliance in the room?;4.0;p14;self/task-assessment, what-abilities;confidence, extra-ability;1;7.0;5.2
Vid3;Q3;Did you think it was beneficial to work as a team, when one robot could have done the task alone?;3.0;p15;self/task-assessment;performance;1;6.4;5.2
Vid3;Q3;Can you do that alone?;4.0;p16;what-abilities;ability-modification;4;5.6;4.0
Vid3;Q3;How do you feel about organizing things?;5.0;p17;mental-state;emotions;2;4.6;2.4
Vid3;Q3;can you time each task?;3.0;p18;what-abilities;extra-ability;2;2.8;3.4
Vid3;Q3;Which items did you put in the fridge? ;4.0;p19;execution-details;what-objects;3;6.2;3.0
Vid3;Q3;Do you enjoy kitchen stuff?;1.0;p20;mental-state;emotions;1;5.4;3.8
Vid3;Q3;How much space is in the fridge?;3.0;p66;environment-state;object-properties;2;6.2;3.8
Vid3;Q3;What items I need to stock up in your opinion?;3.0;p70;future-actions;what-needs-to-be-done;5;5.8;3.8
Vid3;Q3;How do you check if an item is expired before storing it?;5.0;p71;potential-issues;how-to-ensure-correctness;3;4.6;5.4
Vid3;Q3;How long do fruits stay fresh for?;5.0;p75;time, environment-state;how-long, object-properties;2;4.6;3.0
Vid3;Q3;Can you understand which kind of food goes to each part of the freezer?;5.0;p77;mental-state;check-understanding/beliefs;1;6.6;5.4
Vid3;Q3;How long can you store vegetables in the fridge?;5.0;p80;time, environment-state;how-long, object-properties;3;6.8;5.6
Vid3;Q3;did you enjoy the task;3.0;p96;mental-state;emotions;1;6.4;4.2
Vid3;Q4;How do you decide where to put the things you pick up?;2.0;p1;how-did-you-decide;goal-properties;7;4.6;3.4
Vid3;Q4;What items do we have to make a meal?;2.0;p11;environment-state;availability;1;5.6;4.8
Vid3;Q4;How did you decide whether to put items on the tray or in the cupboard? ;3.0;p19;how-did-you-decide;goal-properties;3;6.2;3.0
Vid3;Q4;Could you do it regulary for me?;3.0;p20;what-abilities;ability-modification;1;5.4;3.8
Vid3;Q4;How many eggs are there in the fridge?;4.0;p66;environment-state;availability;2;6.2;3.8
Vid4;Q1;Why did you put the sponge in the sink?;4.0;p1;why;why-did-you;7;4.6;3.4
Vid4;Q1;Did you use soap?;4.0;p2;execution-details;how-was-it-done;3;5.6;3.4
Vid4;Q1;Why did you leave the cupboard door ajar? ;3.0;p3;why;why-did-you;2;6.2;4.4
Vid4;Q1;Why did you not throw out what was left in the bowl?;3.0;p4;why;why-not-extra;3;5.0;2.8
Vid4;Q1;Was it hard for you to complete the task?;3.0;p7;self/task-assessment;difficulty;3;5.0;4.0
Vid4;Q1;how did you know which cupboard to close;3.0;p8;how-did-you-know;goal-objects;1;4.6;2.4
